latitude,longitude,state,year,hour,shape
39.16,-80.35,WV,1982,21,light
26.96,-82.35,FL,2013,21,unknown
42.46,-83.95,MI,2002,24,unknown
38.58,-121.49,CA,2007,13,sphere
43.75,-71.4,NH,2002,21,changing
42.48,-83.48,MI,2008,23,sphere
34.13,-117.21,CA,2009,0,triangle
39.84,-88.95,IL,1980,19,unknown
41.85,-87.65,IL,2008,21,fireball
43.71,-88.99,WI,2013,22,triangle
42.53,-83.78,MI,1997,22,rectangle
43.02,-70.91,NH,2013,18,fireball
40.46,-74.36,NJ,2005,12,oval
48.41,-114.34,MT,1991,14,disk
40.49,-86.13,IN,2008,19,rectangle
28.24,-82.72,FL,2002,19,circle
44.62,-123.94,OR,2002,23,triangle
27.77,-82.68,FL,1970,0,disk
38.62,-88.79,IL,2009,21,other
44.64,-124.05,OR,2013,21,fireball
33.58,-112.24,AZ,2013,20,light
42.79,-71.2,NH,2011,18,unknown
32.31,-106.78,NM,2014,19,light
39.95,-79.27,PA,1992,23,formation
41.94,-71.29,MA,1986,20,disk
36.05,-95.79,OK,2008,22,light
38.17,-75.94,MD,1969,1,disk
33.98,-118.03,CA,2009,20,fireball
28.54,-81.38,FL,2001,18,cigar
41.79,-90.22,IL,1980,22,disk
27.29,-80.35,FL,2008,1,cigar
34.01,-83.83,GA,2010,23,other
33.35,-112.68,AZ,2004,22,oval
46.76,-114.08,MT,1998,10,disk
42.63,-88.64,WI,1999,22,circle
40.88,-74.11,NJ,2004,21,light
46.78,-92.11,MN,2012,23,triangle
47.4,-122.32,WA,2003,13,cigar
47.68,-122.21,WA,2014,22,circle
40.81,-80.2,PA,2009,22,light
37.3,-77.29,VA,2012,22,triangle
39.18,-96.57,KS,2009,23,light
47.74,-120.37,WA,2011,23,light
45.46,-123.97,OR,2005,21,light
34.92,-120.51,CA,1966,14,other
36.95,-84.1,KY,2013,20,sphere
41.91,-88.31,IL,2011,22,sphere
40.71,-74.01,NY,1995,22,na
38.21,-84.25,KY,2010,0,light
37.97,-87.56,IN,2008,4,formation
42.53,-92.45,IA,2007,0,light
34.39,-118.54,CA,2005,21,other
45.17,-68.84,ME,2003,16,cigar
31.13,-92.07,LA,2013,19,disk
33.72,-116.21,CA,2007,6,oval
37.77,-122.42,CA,2008,21,triangle
44.51,-92.91,MN,2011,18,cylinder
37.88,-122.18,CA,1980,23,sphere
40.8,-81.38,OH,2013,21,unknown
38.4,-105.22,CO,2005,20,light
34.87,-111.76,AZ,1993,20,formation
41.85,-87.65,IL,2006,18,sphere
41.8,-87.94,IL,2012,19,fireball
39.72,-82.95,OH,2002,23,light
45.45,-122.64,OR,2014,18,triangle
33.74,-118.29,CA,2003,6,disk
33.45,-112.07,AZ,1997,20,triangle
34.58,-117.41,CA,2011,21,light
25.9,-97.5,TX,2008,14,triangle
42.13,-80.09,PA,2002,21,unknown
42.31,-83.48,MI,2007,21,formation
40.62,-79.15,PA,2006,7,formation
35.58,-81.21,NC,2004,21,light
34.75,-92.29,AR,2006,21,light
34.05,-118.24,CA,1999,4,light
26.62,-80.06,FL,2004,23,formation
44.02,-88.54,WI,1999,15,sphere
44.05,-123.09,OR,2000,2,circle
35.82,-80.25,NC,2012,19,other
42.58,-83.03,MI,2012,22,light
40.71,-73.56,NY,2007,23,unknown
28.04,-81.95,FL,2012,23,flash
33.56,-81.72,SC,2003,19,unknown
43.49,-88.54,WI,2011,22,light
33.91,-98.49,TX,1989,14,oval
45.78,-108.5,MT,2013,21,fireball
44.1,-69.38,ME,2013,20,disk
30.91,-94.42,TX,2007,20,unknown
41.28,-72.6,CT,2010,22,diamond
39.78,-74.86,NJ,2009,6,light
39.53,-119.75,NV,2004,23,circle
38.95,-92.33,MO,2009,5,light
33.79,-117.85,CA,1998,23,fireball
40.6,-77.57,PA,2011,21,fireball
41.54,-73.21,CT,2013,22,light
32.35,-97.39,TX,2005,2,light
34.05,-118.24,CA,2000,21,formation
43.0,-71.46,NH,2012,20,light
41.48,-87.33,IN,2002,22,other
41.72,-80.15,PA,2011,22,na
36.97,-122.03,CA,2014,21,other
28.54,-81.38,FL,2012,22,light
44.2,-88.45,WI,1963,11,circle
41.45,-75.38,PA,2009,4,other
36.72,-120.06,CA,2013,21,unknown
45.03,-84.67,MI,2008,11,light
31.12,-97.9,TX,2008,20,unknown
44.63,-90.01,WI,2012,2,unknown
27.75,-98.07,TX,2011,19,triangle
35.39,-94.4,AR,2003,18,circle
34.75,-77.43,NC,2009,15,circle
37.95,-104.83,CO,2006,22,oval
32.79,-116.96,CA,2005,12,circle
29.69,-95.21,TX,2002,3,light
41.22,-111.97,UT,2002,19,circle
33.82,-78.68,SC,2013,21,sphere
40.46,-109.53,UT,2012,21,fireball
37.87,-122.27,CA,2004,13,cigar
35.23,-92.39,AR,2000,20,circle
41.32,-73.09,CT,2010,0,cigar
39.84,-88.95,IL,2002,0,fireball
34.95,-85.26,GA,2011,19,formation
47.53,-122.03,WA,2006,1,light
42.7,-83.4,MI,2000,23,sphere
35.8,-84.26,TN,2011,21,fireball
38.71,-105.14,CO,2012,19,unknown
31.14,-89.41,MS,2004,20,formation
47.61,-122.33,WA,2008,16,circle
41.21,-79.39,PA,2004,16,circle
45.2,-93.39,MN,2004,22,light
38.45,-78.87,VA,1997,5,light
42.77,-78.61,NY,1970,21,egg
35.99,-78.9,NC,2013,21,sphere
33.55,-79.04,SC,2013,22,light
29.54,-90.34,LA,2013,21,fireball
41.9,-87.94,IL,2008,21,circle
38.04,-77.64,VA,2011,6,flash
43.11,-88.5,WI,1998,17,light
39.74,-104.98,CO,2005,19,cigar
39.16,-84.46,OH,2007,21,light
43.18,-73.43,NY,1976,22,unknown
47.32,-122.31,WA,2001,7,fireball
36.75,-119.77,CA,2014,18,sphere
39.65,-104.99,CO,2011,20,cigar
33.69,-78.89,SC,2009,22,circle
37.27,-79.94,VA,1999,16,teardrop
37.99,-122.59,CA,2013,20,sphere
45.12,-93.29,MN,2002,5,light
36.33,-77.59,NC,1998,20,circle
37.55,-97.27,KS,2013,22,fireball
38.13,-121.27,CA,2011,20,changing
37.34,-121.89,CA,2004,2,unknown
41.54,-73.21,CT,2004,13,disk
27.59,-82.43,FL,2000,21,triangle
29.69,-91.3,LA,2014,19,other
39.63,-84.16,OH,2013,21,triangle
44.73,-116.08,ID,1991,3,unknown
40.6,-79.76,PA,2012,19,circle
36.42,-82.48,TN,2008,23,triangle
41.14,-87.88,IL,2012,16,circle
41.32,-75.82,PA,2001,23,egg
32.91,-96.64,TX,2007,21,changing
47.61,-122.2,WA,2008,23,light
30.69,-88.04,AL,2003,11,triangle
42.47,-70.95,MA,2013,21,formation
35.72,-77.92,NC,2011,11,circle
42.27,-72.67,MA,2013,21,fireball
30.27,-97.74,TX,2006,14,cigar
39.9,-75.33,PA,2003,22,other
38.58,-121.49,CA,2011,9,disk
35.27,-116.07,CA,2004,6,light
45.32,-118.09,OR,1999,22,formation
41.74,-70.19,MA,1997,23,oval
42.87,-72.28,NH,2013,19,light
39.52,-84.4,OH,2009,21,light
41.18,-80.77,OH,1995,0,disk
37.35,-108.59,CO,1999,21,light
40.85,-74.09,NJ,2004,19,circle
42.1,-79.38,NY,2011,10,circle
34.48,-114.32,AZ,2006,21,light
27.64,-80.4,FL,2014,22,other
32.22,-110.93,AZ,2013,20,formation
33.52,-82.08,GA,1968,23,disk
33.56,-81.72,SC,2013,20,light
33.84,-117.91,CA,2009,19,light
33.47,-117.7,CA,1998,20,fireball
46.32,-120.01,WA,1999,6,other
36.17,-86.78,TN,2002,19,circle
39.28,-80.34,WV,2011,0,oval
40.74,-74.38,NJ,2003,21,triangle
40.74,-73.03,NY,2011,20,fireball
40.77,-73.02,NY,2003,22,light
36.12,-80.07,NC,2013,20,light
32.72,-117.16,CA,2009,21,light
42.32,-85.18,MI,2010,16,sphere
35.35,-75.51,NC,2012,23,fireball
37.41,-102.61,CO,2009,22,triangle
48.78,-117.81,WA,2006,21,flash
43.07,-89.4,WI,1996,22,na
48.12,-123.43,WA,2003,23,formation
39.56,-86.1,IN,2011,1,formation
40.27,-76.88,PA,2002,9,sphere
42.3,-91.01,IA,2007,4,light
33.45,-112.07,AZ,2010,13,rectangle
26.16,-97.99,TX,2009,21,light
39.53,-107.78,CO,2007,23,fireball
25.68,-80.32,FL,2009,1,light
45.52,-122.67,OR,2000,2,unknown
40.64,-78.3,PA,2006,21,circle
34.02,-84.62,GA,2007,1,fireball
