latitude,longitude,state,year,hour,shape
38.98,-94.67,KS,1999,22,fireball
30.33,-81.66,FL,1983,21,triangle
34.56,-92.59,AR,2009,19,light
40.56,-111.93,UT,1999,1,circle
44.05,-71.67,NH,2001,21,light
28.4,-97.75,TX,2001,6,flash
45.49,-122.8,OR,2005,11,other
41.76,-72.69,CT,2009,22,triangle
35.33,-79.26,NC,2009,18,unknown
40.78,-73.47,NY,2012,0,fireball
39.94,-77.66,PA,2004,22,unknown
35.96,-80.01,NC,2013,22,light
39.16,-84.46,OH,2013,22,light
41.24,-80.82,OH,2004,19,rectangle
39.6,-119.78,NV,2010,11,other
32.21,-99.8,TX,2005,23,light
40.16,-74.83,PA,1975,21,light
40.77,-87.86,IL,2001,19,rectangle
38.93,-104.61,CO,2006,14,changing
43.77,-88.45,WI,2013,20,light
39.33,-77.66,MD,2009,22,circle
47.61,-122.33,WA,1999,0,other
40.92,-96.53,NE,1998,21,fireball
42.51,-89.03,WI,1975,21,disk
33.45,-112.07,AZ,2006,22,circle
45.68,-111.04,MT,2003,22,oval
35.23,-80.84,NC,1999,21,changing
35.16,-120.67,CA,2003,21,triangle
44.04,-88.74,WI,2013,21,unknown
44.02,-70.98,ME,2009,21,flash
21.42,-157.8,HI,2014,22,fireball
47.1,-122.43,WA,2011,23,light
37.93,-75.38,VA,2006,12,unknown
42.44,-76.5,NY,1993,0,other
27.95,-82.46,FL,1979,2,disk
42.19,-120.34,OR,2005,21,triangle
41.78,-96.22,NE,1980,22,unknown
47.75,-122.16,WA,2007,15,sphere
47.67,-122.12,WA,2005,17,changing
30.27,-89.78,LA,2014,12,circle
37.82,-121.28,CA,2011,4,oval
33.66,-116.31,CA,2006,5,oval
32.74,-97.11,TX,1999,1,fireball
42.41,-71.05,MA,2009,8,circle
45.52,-122.67,OR,2001,1,oval
38.68,-87.53,IN,2011,2,triangle
38.33,-82.95,KY,2005,23,triangle
38.58,-122.58,CA,2011,11,oval
34.87,-111.76,AZ,1997,22,sphere
32.7,-103.14,NM,2012,7,oval
46.21,-119.14,WA,2004,2,na
40.71,-74.01,NY,2005,4,light
35.12,-120.62,CA,2002,2,light
41.26,-95.94,NE,2000,21,teardrop
47.86,-121.97,WA,2002,11,rectangle
38.58,-121.49,CA,2013,19,light
39.94,-120.95,CA,2012,23,flash
36.82,-76.28,VA,2010,0,unknown
41.17,-73.21,CT,1995,2,circle
41.85,-87.65,IL,2012,19,other
41.42,-87.37,IN,1999,4,light
38.76,-119.38,NV,2010,23,flash
45.64,-122.66,WA,2000,3,unknown
42.09,-71.47,MA,2009,19,flash
45.31,-93.79,MN,2005,0,disk
40.66,-74.3,NJ,2010,23,light
47.03,-122.82,WA,2012,0,disk
30.56,-81.83,FL,2001,22,formation
39.19,-78.16,VA,1996,9,cone
37.91,-122.06,CA,2003,9,other
29.42,-98.49,TX,2011,20,disk
39.53,-119.81,NV,2011,22,disk
33.41,-91.06,MS,1951,20,disk
41.76,-70.08,MA,2001,4,disk
43.15,-77.62,NY,2001,20,light
37.78,-75.65,VA,2009,17,triangle
46.81,-100.78,ND,2008,23,rectangle
32.22,-110.93,AZ,2006,21,light
38.22,-80.53,WV,1996,19,formation
42.36,-71.06,MA,1960,18,disk
33.14,-95.6,TX,1972,20,disk
47.31,-122.23,WA,2009,22,fireball
28.09,-81.72,FL,2007,21,sphere
35.05,-81.98,SC,2009,22,light
43.17,-73.33,NY,1990,22,egg
46.14,-122.94,WA,2007,13,egg
41.93,-88.75,IL,2003,16,circle
35.88,-76.62,NC,2008,0,light
37.77,-122.42,CA,2004,17,oval
44.29,-105.5,WY,2001,18,changing
39.58,-104.88,CO,2005,19,cigar
33.62,-117.93,CA,2009,22,other
33.76,-118.01,CA,2006,5,unknown
44.23,-69.78,ME,2008,19,formation
40.05,-86.01,IN,2010,19,fireball
42.94,-70.84,NH,2012,18,fireball
32.72,-117.16,CA,2003,19,light
32.72,-117.16,CA,1989,23,formation
36.85,-76.29,VA,2001,20,formation
37.78,-81.19,WV,2004,12,unknown
33.94,-78.73,SC,2013,21,circle
39.11,-94.63,KS,2001,20,circle
39.96,-83.0,OH,2013,19,changing
39.95,-75.16,PA,2000,3,changing
33.77,-118.19,CA,2007,21,other
40.7,-73.33,NY,2000,23,formation
41.15,-96.04,NE,2002,17,cigar
38.44,-122.71,CA,1988,3,changing
37.77,-87.11,KY,2011,2,sphere
42.05,-124.28,OR,2005,22,diamond
32.22,-110.93,AZ,2009,19,flash
31.95,-98.74,TX,2005,21,triangle
29.54,-90.34,LA,2013,16,oval
31.76,-106.49,TX,2009,0,changing
30.27,-89.78,LA,1967,20,circle
31.35,-85.34,AL,2014,18,flash
39.72,-85.89,IN,2008,0,light
34.25,-89.0,MS,2002,19,triangle
41.7,-88.07,IL,2007,17,light
42.96,-85.67,MI,2013,22,oval
41.63,-72.46,CT,2009,18,triangle
32.22,-110.93,AZ,2008,20,other
26.93,-80.09,FL,2013,23,sphere
34.62,-79.01,NC,2002,19,diamond
35.69,-105.94,NM,2013,21,unknown
44.13,-73.08,VT,2000,18,triangle
44.31,-89.9,WI,2001,1,circle
41.06,-111.97,UT,2000,22,triangle
39.96,-76.73,PA,2013,20,unknown
44.64,-124.05,OR,2009,1,circle
34.06,-106.89,NM,2002,19,cylinder
40.6,-112.46,UT,2000,22,fireball
35.62,-86.59,TN,2011,20,circle
38.59,-75.29,DE,2013,19,fireball
29.76,-95.36,TX,1997,4,other
47.83,-96.13,MN,2010,22,light
41.29,-91.55,IA,2013,22,triangle
37.55,-97.27,KS,2010,21,other
38.9,-77.27,VA,2006,17,sphere
35.92,-86.87,TN,2013,1,triangle
33.58,-92.83,AR,2002,10,diamond
39.85,-75.36,PA,2014,21,light
32.88,-111.76,AZ,2008,15,light
29.42,-98.49,TX,2003,20,cigar
30.29,-90.4,LA,2013,21,unknown
44.06,-121.31,OR,1994,0,disk
32.22,-110.93,AZ,2008,11,cigar
38.98,-76.49,MD,2009,21,circle
33.21,-97.13,TX,1974,1,unknown
41.7,-70.76,MA,1968,19,other
34.26,-85.16,GA,2003,16,other
40.15,-79.89,PA,1970,3,cylinder
38.1,-122.26,CA,2005,8,unknown
35.34,-97.49,OK,2012,22,circle
41.28,-84.36,OH,2005,22,other
27.91,-82.79,FL,2003,23,other
39.23,-82.2,OH,2014,19,fireball
39.71,-82.6,OH,2011,21,egg
40.42,-86.88,IN,2003,20,light
46.09,-88.64,MI,1997,21,light
36.05,-112.14,AZ,2001,23,triangle
34.5,-97.96,OK,2000,21,unknown
35.69,-105.94,NM,2003,23,cylinder
34.16,-118.5,CA,2009,22,triangle
35.65,-97.48,OK,2012,22,light
39.42,-81.45,OH,2009,23,formation
34.14,-118.77,CA,2007,17,disk
39.61,-75.83,MD,1993,17,light
42.36,-85.88,MI,2013,20,unknown
27.77,-82.68,FL,1978,15,formation
32.59,-81.5,GA,2007,19,light
40.95,-79.74,PA,2007,14,sphere
40.75,-80.32,PA,2013,6,light
41.64,-93.46,IA,2008,24,oval
37.89,-90.21,MO,1963,0,disk
40.73,-73.19,NY,2013,23,light
40.42,-91.14,IL,1995,23,light
30.3,-81.98,FL,2006,4,circle
37.99,-85.72,KY,2012,22,fireball
37.69,-97.34,KS,2011,19,triangle
39.61,-105.02,CO,2006,16,disk
29.76,-95.36,TX,2001,22,light
39.47,-87.41,IN,2005,5,chevron
38.81,-94.93,KS,2013,22,triangle
33.82,-118.04,CA,1996,18,oval
38.3,-77.46,VA,1986,16,triangle
38.89,-77.08,VA,1952,21,oval
42.24,-83.61,MI,2013,3,triangle
38.92,-76.63,MD,2011,20,triangle
39.91,-77.91,PA,2002,21,light
47.72,-116.95,ID,1999,19,fireball
28.32,-80.61,FL,2004,18,oval
42.74,-73.56,NY,2008,19,unknown
47.98,-122.2,WA,2010,22,oval
42.03,-71.22,MA,2011,19,flash
30.27,-89.78,LA,2004,20,circle
34.41,-111.49,AZ,2009,20,light
33.45,-112.07,AZ,2002,18,light
34.7,-86.38,AL,2013,20,circle
44.8,-106.96,WY,2004,2,light
41.9,-72.47,CT,2014,17,fireball
29.76,-95.36,TX,2003,18,other
40.59,-105.08,CO,2014,1,formation
39.96,-83.0,OH,2010,0,cigar
38.94,-84.54,KY,2013,21,sphere
29.54,-95.12,TX,1998,19,light
34.05,-118.24,CA,2008,17,light
32.84,-116.77,CA,2011,16,other
34.66,-83.1,SC,2011,5,light
44.94,-93.09,MN,2011,22,fireball
42.38,-72.52,MA,1985,6,rectangle
30.39,-86.5,FL,2010,21,fireball
39.73,-90.91,IL,2011,1,other
37.94,-87.41,IN,2008,0,light
47.98,-122.2,WA,2004,22,light
32.31,-106.78,NM,2013,2,fireball
35.6,-91.28,AR,2003,21,formation
37.32,-84.94,KY,2002,1,changing
36.78,-121.67,CA,2011,22,light
37.64,-121.0,CA,2009,17,changing
43.11,-76.22,NY,2005,2,unknown
39.87,-76.87,PA,2009,5,rectangle
39.34,-74.58,NJ,2012,1,light
45.14,-122.85,OR,2005,0,fireball
33.02,-80.18,SC,2012,1,triangle
39.55,-78.0,WV,2005,8,light
45.86,-111.33,MT,2009,22,other
48.51,-122.61,WA,2005,19,light
35.08,-106.65,NM,2000,14,sphere
43.01,-88.47,WI,1952,11,na
32.76,-91.87,LA,1996,20,light
44.94,-91.39,WI,1995,22,circle
33.89,-118.35,CA,1968,0,circle
30.32,-86.13,FL,1999,5,light
30.34,-95.09,TX,2012,20,triangle
40.44,-80.0,PA,1969,21,other
41.67,-70.19,MA,1994,21,light
42.65,-78.9,NY,2008,0,circle
39.1,-94.58,MO,2001,11,na
41.93,-74.0,NY,1983,21,triangle
44.85,-93.79,MN,2002,3,light
47.5,-111.3,MT,2012,23,triangle
34.2,-79.76,SC,1999,20,fireball
46.57,-122.91,WA,2008,0,light
34.03,-78.64,NC,2003,20,light
40.71,-74.01,NY,2012,12,egg
41.85,-87.65,IL,1998,22,other
38.65,-82.85,OH,2007,22,light
40.48,-88.99,IL,2013,22,fireball
39.16,-108.73,CO,2003,19,unknown
45.29,-122.33,OR,2012,19,oval
44.34,-85.22,MI,2010,11,formation
44.94,-93.09,MN,2014,22,oval
38.43,-90.38,MO,2012,11,triangle
41.86,-93.92,IA,2010,22,triangle
42.36,-71.06,MA,2003,20,rectangle
36.9,-104.44,NM,2006,23,formation
32.96,-117.03,CA,2000,20,unknown
43.05,-76.15,NY,2012,0,circle
35.39,-94.4,AR,2003,23,triangle
47.76,-122.24,WA,2007,17,light
30.48,-88.34,AL,2012,9,circle
32.08,-81.1,GA,2008,22,fireball
35.34,-97.49,OK,2013,21,circle
43.08,-76.87,NY,2005,22,formation
47.61,-122.2,WA,1997,20,na
28.54,-81.38,FL,2012,19,unknown
35.72,-79.18,NC,2007,18,other
32.27,-89.99,MS,2010,22,triangle
27.8,-97.4,TX,2001,17,cylinder
32.95,-96.73,TX,2002,22,disk
44.25,-85.4,MI,2002,4,fireball
36.31,-82.35,TN,2012,0,circle
34.22,-119.04,CA,2002,0,sphere
47.19,-122.29,WA,2004,1,fireball
40.77,-73.12,NY,2012,14,oval
37.73,-122.16,CA,2006,21,circle
35.08,-106.65,NM,2009,18,other
33.69,-78.89,SC,2012,20,light
38.91,-75.3,DE,2002,12,light
41.24,-81.84,OH,2011,22,fireball
39.9,-82.42,OH,2005,5,oval
41.82,-71.41,RI,2002,16,sphere
36.17,-115.14,NV,1997,0,light
41.46,-81.51,OH,2003,19,chevron
33.43,-79.12,SC,2012,18,circle
39.84,-105.04,CO,2012,22,unknown
33.98,-81.24,SC,2009,21,light
38.01,-121.8,CA,2003,5,fireball
30.34,-97.56,TX,2013,0,light
38.22,-90.4,MO,2010,5,other
42.42,-71.11,MA,2014,21,oval
40.42,-86.88,IN,2013,23,light
33.42,-111.82,AZ,2001,10,unknown
43.54,-89.46,WI,2008,21,formation
42.44,-123.33,OR,1998,19,triangle
61.22,-149.9,AK,2010,20,light
44.91,-116.1,ID,2001,22,unknown
33.97,-112.73,AZ,2004,22,light
33.71,-115.4,CA,2013,12,unknown
43.63,-89.77,WI,2000,19,light
47.29,-101.62,ND,2013,23,diamond
38.15,-92.62,MO,2011,22,oval
40.89,-83.65,OH,2007,22,light
41.61,-88.8,IL,2008,19,oval
45.46,-123.84,OR,2011,20,cylinder
26.01,-80.15,FL,1963,1,disk
27.41,-82.66,FL,2012,23,other
34.93,-95.77,OK,2004,0,diamond
32.42,-104.23,NM,1992,9,triangle
47.61,-122.33,WA,2003,21,unknown
42.08,-72.03,MA,2013,22,light
30.48,-98.16,TX,2010,23,circle
25.79,-80.13,FL,2014,21,disk
33.84,-117.91,CA,2007,19,light
47.67,-117.24,WA,2013,16,sphere
47.38,-122.23,WA,1999,22,disk
40.76,-111.89,UT,2009,23,unknown
37.48,-86.29,KY,2009,18,circle
39.9,-80.18,PA,1986,17,diamond
33.83,-118.28,CA,1999,0,disk
43.61,-116.2,ID,2010,8,disk
43.64,-70.52,ME,2011,0,other
42.97,-78.87,NY,1975,20,disk
39.34,-85.2,IN,2010,22,changing
33.67,-117.82,CA,2014,20,triangle
32.51,-92.12,LA,1968,21,light
41.26,-95.94,NE,2001,21,fireball
41.85,-87.65,IL,2010,0,unknown
41.53,-124.04,CA,2010,22,light
41.85,-87.65,IL,2010,21,rectangle
43.28,-75.64,NY,2007,2,circle
36.64,-93.22,MO,2014,22,triangle
41.29,-72.38,CT,2009,20,light
34.61,-120.19,CA,2010,22,flash
41.9,-71.09,MA,2012,21,fireball
31.97,-110.29,AZ,2011,19,fireball
42.36,-71.06,MA,2013,3,other
46.78,-92.11,MN,2007,4,oval
38.58,-121.49,CA,2006,9,na
27.97,-82.8,FL,2013,20,circle
36.59,-82.19,TN,2004,19,other
37.55,-77.46,VA,2007,15,unknown
40.73,-74.08,NJ,2008,23,changing
47.76,-122.24,WA,2014,21,unknown
40.79,-77.86,PA,2012,21,circle
33.69,-78.89,SC,2012,18,light
43.01,-83.69,MI,2010,22,other
29.21,-81.02,FL,1955,21,fireball
29.76,-95.36,TX,2002,18,circle
42.96,-83.83,MI,2005,18,triangle
34.14,-118.03,CA,2009,10,cylinder
45.43,-122.77,OR,1997,19,diamond
34.09,-117.89,CA,2000,19,changing
43.61,-116.39,ID,2013,21,circle
44.37,-91.32,WI,2012,20,light
39.2,-83.61,OH,2002,20,oval
33.16,-97.03,TX,2002,3,unknown
33.41,-111.91,AZ,2003,12,cylinder
40.49,-74.45,NJ,2013,23,light
47.61,-122.33,WA,2006,23,circle
41.89,-87.99,IL,2006,22,light
40.17,-105.1,CO,2008,10,triangle
46.57,-123.3,WA,2006,22,unknown
32.56,-97.14,TX,2012,19,rectangle
58.3,-134.42,AK,1968,2,other
40.37,-75.29,PA,2014,20,triangle
34.05,-118.24,CA,2004,2,rectangle
28.74,-81.12,FL,2005,17,formation
33.61,-111.72,AZ,2004,0,triangle
41.7,-71.68,RI,1977,20,triangle
34.11,-117.37,CA,2008,15,circle
40.47,-80.07,PA,2012,22,circle
40.19,-85.39,IN,1958,21,unknown
39.11,-94.63,KS,2002,21,triangle
33.92,-80.34,SC,2012,9,disk
47.61,-122.33,WA,1999,12,triangle
38.3,-122.28,CA,2008,23,light
46.88,-96.79,ND,1998,20,fireball
38.85,-91.95,MO,2008,23,light
36.39,-87.04,TN,1997,20,fireball
29.03,-82.67,FL,1999,12,disk
40.71,-74.01,NY,2001,21,cone
47.86,-121.82,WA,1973,0,circle
37.69,-122.09,CA,2003,23,unknown
36.75,-119.77,CA,2010,0,light
45.04,-93.26,MN,2000,20,other
40.58,-74.96,NJ,2012,23,light
37.51,-122.26,CA,2004,23,triangle
38.05,-87.27,IN,2010,21,light
34.15,-118.45,CA,2008,2,fireball
33.54,-117.78,CA,2012,21,formation
41.57,-87.78,IL,2004,22,circle
38.63,-90.2,MO,2007,23,na
44.96,-124.02,OR,2013,21,circle
47.32,-122.31,WA,1994,23,unknown
43.66,-70.26,ME,2013,22,light
38.88,-94.82,KS,1995,21,na
42.96,-85.67,MI,2007,1,light
40.3,-111.69,UT,1999,21,diamond
34.28,-119.29,CA,2001,19,other
33.67,-117.82,CA,2012,14,unknown
41.23,-75.92,PA,1978,21,disk
35.08,-106.65,NM,1998,1,fireball
38.7,-91.44,MO,2009,14,diamond
27.5,-82.58,FL,2000,21,fireball
35.69,-84.86,TN,1970,1,fireball
41.31,-72.93,CT,2009,17,sphere
41.99,-88.29,IL,2008,20,sphere
